Id,Title,Original Title,Original Language,Overview,Revenue,Budget,Runtime,Release Date,Vote Average,Vote Count,Genres,Production Companies,Production Countries,Spoken Languages,Director,Stars
31174028,Mai,Mai,vi,"Bị ám ảnh không ngừng bởi quá khứ, Mai được chào đón bởi một bình minh mới khi cô miễn cưỡng kết bạn với người đàn ông hàng xóm. Nhưng hôm qua cô ấy đuổi kịp cô ấy thì ngày mai cô ấy sẽ ra sao?",22119910.0,2503150.0,133,2024-02-10,6.8,495,"['Drama', 'Comedy', 'Romance']",['Trấn Thành Town'],['Vietnam'],['Tiếng Việt'],Tran Thanh,"['Tuan Tran', 'Phuong Anh Dao', 'Hong Dao', 'Ngoc Giau', 'Quoc Khanh', 'Manh Lan' ,'Tran Thanh', 'Tuan Tran']"
1255517,Nhà Bà Nữ,Nhà Bà Nữ,vi,"Bà Nữ (Lê Giang) là một mẫu hệ độc đoán, điều hành gia đình ba thế hệ của mình giống như cách bà điều hành quán bún riêu thành công của mình. Nói tóm lại, cô ấy điều hành một con tàu chặt chẽ trong mọi khía cạnh của cuộc sống. Tuy nhiên, khi ba thế hệ cùng chung sống dưới một mái nhà, tia lửa chắc chắn sẽ bay ra - và không nhất thiết phải là tia lửa tốt. Cảm thấy ngột ngạt trước ánh mắt áp bức của mẹ, cô con gái út Nhị (Uyên An) của Nu quyết định bỏ trốn theo người bạn trai vô tư John (Song Luân). Nhưng cặp đôi trẻ sớm nhận ra rằng họ chưa chuẩn bị sẵn sàng cho tương lai cùng nhau như thế nào. Thời gian trôi qua, những người phụ nữ nhà Nu dần dần hòa giải, mỗi người đều tìm hiểu về bản thân và nhau trên đường đi.",19490980.0,1377680.0,103,2023-01-11,6.1,448,"['Drama', 'Comedy']",['Trấn Thành Town'],['Vietnam'],['Tiếng Việt'],Tran Thanh,"['Huynh Uyen An', 'Le Giang', 'Ngoc Giau', 'Song Luan', 'Ngoc Giau', 'Kha Nhu', 'Tran Thanh']"
787459,"Dad, I'm Sorry",Bố Già,vi,"Câu chuyện về Ba Sang – con thứ 2 trong 4 anh em ồn ào: Giàu, Sáng, Phú, Quý. Ba Sang là người hay can thiệp, “quá” tốt bụng và luôn hy sinh vì người khác dù họ có muốn hay không. Quân – Con trai Ba Sang là một Youtuber trẻ hiện đại.",17480489.0,905332.0,128,2021-03-12,9.2,1100,"['Comedy', 'Family', 'Drama']","['HK Film', 'Trấn Thành Town', 'Galaxy Studio']",['Vietnam'],['Tiếng Việt'],Tran Thanh,"['Tran Thanh', 'Tuan Tran', 'Le Giang']"
939347,Transformers: Rise of the Beasts 3,Transformers: Rise of the Beasts 3,en,Phần thứ hai trong số hai phần tiếp theo được lên kế hoạch cho bộ phim năm 2023 Transformers: Rise of the Beasts.,493000000.0,200000000.0,127,2023-06-09 00:00:00,7.3,4240,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","['Skydance Media', 'Hasbro Entertainment', 'Paramount']",['United States of America'],['Tiếng Anh'],,
1072077,Face Off 6: The Ticket Of Destiny,Lật Mặt 6: Tấm Vé Định Mệnh,vi,"Một nhóm bạn lâu năm bất ngờ nhận được cơ hội đổi đời khi biết tấm vé của nhóm này trúng giải độc đắc 136,8 tỷ đồng. Bất ngờ, An, người giữ vé gặp tai nạn và tử vong. Đối mặt với giấc mơ trúng số tiền đáng lẽ phải dễ dàng có được, nhóm bạn bắt tay vào hành trình đi tìm tấm vé số. Nhưng đó chỉ là khởi đầu của vô số sự kiện bất ngờ. Nhiệm vụ tìm kiếm và chia sẻ số tiền mơ ước sinh lợi sẽ thực sự dẫn nhóm đến đâu?",12651052.0,0.0,131,2023-04-28,6.5,224,"['Action', 'Drama', 'Thriller']",['Ly Hai Production'],['Vietnam'],['Tiếng Việt'],Ly Hai,"['Trung Dung', 'Huy Khanh', 'Diep Bao Ngoc', 'Huy Khanh']"
1151141,Ma Nữ Báo Thù,Ma Nữ Báo Thù,vi,"Sau một thời gian yêu nhau, luật sư Huy theo bạn gái về quê giới thiệu gia đình cô. Tuy nhiên, chuyến đi không hề yên bình như Huy nghĩ. Kể từ khi về ở trong căn biệt thự cổ của nhà họ Lân, Huy luôn mơ thấy một cô gái trẻ đến tìm mình...",8737253.0,393623.0,93,2016-06-03,6.1,21,['Horror'],[],['Vietnam'],['Tiếng Việt'],Vinh Khuong,"['Hoang Phuc', 'Truong Nam Thanh', 'Trinh Kim Chi']"
1258626,Face Off 7: One Wish,Lật Mặt 7: Một Điều Ước,vi,Tác phẩm thứ 7 trong loạt phim Đối Mặt do Lý Hải viết kịch bản và đạo diễn,7869360.0,0.0,127,2024-04-26,8.0,29,"['Family', 'Drama']",['Ly Hai Production'],['Vietnam'],['Tiếng Việt'],Ly Hai,"['Tram Anh','Tran Kim Hai', 'Thanh Hien', 'Truong Minh Cuong', 'Dinh Y Nhung']"
597515,Win My Baby Back,Cua Lại Vợ Bầu,vi,“Giành Lại Em Bé” là câu chuyện tình yêu hoàn mỹ của Trọng Thoại và Nha Linh. Nhưng cuộc đời không như mơ khi bạn gái cũ của Nha Linh là Quý Khánh bất ngờ xuất hiện và gây ra hàng loạt xáo trộn trong lòng cô gái. Vậy mối tình tay ba này sẽ đi về đâu?,7546716.0,0.0,102,2019-02-05,5.7,237,"['Comedy', 'Family']","['ABC Pictures', 'NT Studio', 'NHV Entertainment']",['Vietnam'],['Tiếng Việt'],Nhat Trung,"['Tran Thanh', 'Ninh Duong Lan Ngoc', 'Anh Tu', 'Mac Van Khoa', 'Kha Nhu' ,'Huu Chau']"
618010,Dreamy Eyes,Mắt Biếc,vi,Mắt Biếc (Mắt biếc) kể về mối tình đơn phương của Ngân dành cho Hạ Lan - người bạn thời thơ ấu của anh.,7061163.0,0.0,117,2019-12-20,6.9,2100,"['Drama', 'Romance']","['Galaxy Media & Entertaiment', 'November Films']",['Vietnam'],['Tiếng Việt'],Victor Vu,"['Trúc Anh', 'Tran Nghia', 'Tran Phong']"
280,Terminator 2: Judgment Day,Terminator 2: Judgment Day,en,"Lấy bối cảnh mười năm sau các sự kiện trong phần đầu, bộ phim hành động khoa học viễn tưởng kinh điển của James Cameron kể câu chuyện về nỗ lực thứ hai nhằm loại bỏ thủ lĩnh nổi loạn John Connor, lần này nhắm vào chính cậu bé. Tuy nhiên, cuộc nổi dậy đã cử kẻ hủy diệt được lập trình lại để bảo vệ Connor.",520000000.0,102000000.0,137,1991-07-03,8.111,12258,"['Action', 'Thriller', 'Science Fiction']","['Carolco Pictures', 'Pacific Western', 'Lightstorm Entertainment', 'Le Studio Canal+', 'TriStar Pictures']","['France', 'United States of America']","['Tiếng Anh', 'Tiếng Tây Ban Nha']",,
